date,title,label,object,domain,pmi,score_RISK,week
2025-06-05,"Ramai Tambang Nikel Rusak Raja Ampat, Gerindra Minta Pemerintah Evaluasi Menyeluruh",IMPACT,Nickel & EV,Sustainability & ESG,4.27,0.0,2025-06-02
2025-12-29,"Di Balik Gedung Ikonik dan Proyek Raksasa, Begini Wajah Konstruksi Indonesia 2025",EXECUTION,Other Minerals,Industrial & Investment,4.92,0.0,2025-12-29
2026-01-26,Gen Z Ubah Cara Industri Properti Memandang Layanan Parkir,DISCOURSE,General,Industrial & Investment,3.0,0.0,2026-01-26
2025-12-05,Kutukan Ketenagakerjaan di Hilirisasi Morowali,IMPACT,Nickel & EV,Industrial & Investment,4.26,0.0,2025-12-01
2025-11-01,Harum Energy Bantah Tuduhan Caplok Lahan dan Penambangan Ilegal,DISCOURSE,Nickel & EV,Sustainability & ESG,3.0,0.0,2025-10-27
2025-07-24,"Impor Migas Naik, Hulu Migas Lokal Kian Mendesak Diperkuat",DISCOURSE,General,Trade & Export,3.0,0.0,2025-07-21
2025-12-23,Anak Usaha DOID di Australia Menangkan Sengketa Perjanjian Kontrak Pertambangan,EXECUTION,Coal & Energy,Mining & Upstream,2.75,-2.5,2025-12-22
2025-03-17,"Prabowo Resmikan Smelter Emas Freeport di Gresik, Pertama dan Terbesar di Indonesia",EXECUTION,Other Minerals,Industrial & Investment,4.88,0.0,2025-03-17
2025-08-02,"Bisakah Rupiah Tembus Rp 1.000 per Dollar AS? Ini Kata Mentan, Kemenkeu, dan Ekonom",DISCOURSE,General,Trade & Export,3.2,0.0,2025-07-28
2025-12-23,"Dedi Mulyadi Dukung Indramayu Jadi Kawasan Industri, Lucky Hakim Bahas Perizinan",DISCOURSE,General,General,3.2,0.0,2025-12-22
2025-02-15,Menko Airlangga dan Perusahaan UEA Bahas Rencana Produksi Aluminium,EXECUTION,Other Minerals,Industrial & Investment,4.9,0.0,2025-02-10
2026-01-24,Talkshow Energy Connect 5.0 Soroti Kesiapan Gen Z Masuk Sektor Energi,DISCOURSE,General,General,3.0,0.0,2026-01-19
2025-12-29,KPK Ungkap Kendala Auditor BPK Hitung Kerugian Negara di Kasus Tambang Konawe Utara,DISCOURSE,Nickel & EV,General,1.01,-4.0,2025-12-29
2025-06-09,"Raja Ampat, Ekstraktivisme, dan Oligarki Pertambangan",EXECUTION,Nickel & EV,Mining & Upstream,4.88,0.0,2025-06-09
2025-09-19,"CSR Tambang Wajib Tepat Sasaran, Bukan Sekadar Bagi-Bagi Bantuan",DISCOURSE,Nickel & EV,Sustainability & ESG,3.0,0.0,2025-09-15
2025-10-23,Anggota DPR: Pemenjaraan Warga Maba Sangaji Bukti Sistem Peradilan Gagal!,POLICY,Nickel & EV,Sustainability & ESG,4.27,0.0,2025-10-20
2025-12-04,Pemprov Banten Ajukan Penetapan Wilayah Tambang Rakyat di Lebak dan Pandeglang,DISCOURSE,Other Minerals,Mining & Upstream,3.0,0.0,2025-12-01
2025-06-10,"Menurut Menteri Maman, ini Kriteria UMKM yang Bisa Kelola Tambang",DISCOURSE,Other Minerals,Mining & Upstream,3.0,0.0,2025-06-09
2025-06-10,"Tuai Sorotan, PT Gag Nikel Punya Siapa?",EXECUTION,Nickel & EV,Mining & Upstream,4.88,0.0,2025-06-09
2025-09-13,"PT Gag Nikel Beroperasi Lagi di Raja Ampat, Greenpeace Soroti Dampaknya",EXECUTION,Nickel & EV,Sustainability & ESG,5.0,0.0,2025-09-08
2025-05-09,Menhut Dorong Hilirisasi Berkelanjutan pada UMKM Kayu,DISCOURSE,Coal & Energy,Trade & Export,3.0,0.0,2025-05-05
2024-06-16,"Tungku Smelter di Morowali Meledak Lagi, Menperin Panggil Manajemen",DISCOURSE,Nickel & EV,Industrial & Investment,3.72,0.0,2024-06-10
2025-10-29,Membangun Resiliensi Ekonomi Indonesia di Tengah Badai Global,DISCOURSE,Nickel & EV,Trade & Export,3.0,0.0,2025-10-27
2025-07-17,"Gibran Minta Hilirisasi Kemenyan Tak Diremehkan, Pakar Jelaskan Cara Pengolahan Jadi Parfum",DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2025-07-14
2025-11-21,Kebutuhan Smelter Dorong Impor Bijih Nikel Indonesia,DISCOURSE,Nickel & EV,Industrial & Investment,3.62,0.0,2025-11-17
2026-01-23,Layer Baru Cukai Rokok Murah Dinilai Berpotensi Gerus Basis Pajak,IMPACT,General,General,4.62,0.0,2026-01-19
2026-01-10,Pasar Sepeda Motor Indonesia 2026 Diperkirakan Stabil,DISCOURSE,General,General,3.47,0.0,2026-01-05
2024-08-05,"2 Pekerja Proyek Smelter PT BAI Kalbar Tertimbun Tanah Galian, 1 Tewas",EXECUTION,Other Minerals,Industrial & Investment,4.88,0.0,2024-08-05
2025-12-23,"Pelaku Ekraf Bisa Akses KUR Industri Kreatif Tahun Depan, Kekayaan Intelektual jadi Agunan",POLICY,General,Trade & Export,4.11,0.0,2025-12-22
2025-09-10,"ESDM Beri IUP pada PT Gag Nikel di Raja Ampat, Greenpeace Desak Penghentian",EXECUTION,Nickel & EV,Mining & Upstream,5.0,0.0,2025-09-08
2024-04-22,"Korupsi Timah, Kejagung Sita 51 Ekskavator dan 238.848 Meter Persegi Lahan ""Smelter""",POLICY,Other Minerals,Industrial & Investment,1.0,-6.0,2024-04-22
2026-01-08,"Pembebasan PPh 21 untuk Gaji hingga Rp 10 Juta, Minim Dampak?",POLICY,General,General,4.11,0.0,2026-01-05
2025-11-06,Bahlil Ungkap Pabrik Petrokimia Terbesar Asia Tenggara Sempat Mangkrak,EXECUTION,Coal & Energy,Industrial & Investment,1.19,-4.0,2025-11-03
2025-06-09,Komisi VII: Kaji Ulang Pertambangan Nikel di Raja Ampat,DISCOURSE,Nickel & EV,Sustainability & ESG,3.32,0.0,2025-06-09
2026-01-21,Pupuk Indonesia Gandeng Aljazair Amankan Pasokan Fosfat,DISCOURSE,General,Industrial & Investment,3.0,0.0,2026-01-19
2025-05-27,Kemenperin Sebut Peta Hilirisasi Kemenyan Belum Ada,DISCOURSE,General,Industrial & Investment,3.0,0.0,2025-05-26
2025-12-24,"Prediksi Tren Industri 2026, AI dan Otomatisasi Jadi ""Pemain Kunci""",DISCOURSE,General,Industrial & Investment,3.0,0.0,2025-12-22
2025-10-09,KKP Segel Pemanfaatan Ruang Laut 4 Perusahaan Tambang Nikel di Halmahera Timur,EXECUTION,Nickel & EV,Mining & Upstream,4.88,0.0,2025-10-06
2025-05-21,"Menlu Sugiono Bertemu Menlu Mongolia, Bahas Pertambangan dan Pendidikan",DISCOURSE,General,Industrial & Investment,3.0,0.0,2025-05-19
2025-10-28,SIEW 2025: IEA Dorong Hilirisasi Mineral Kritis untuk Perkuat Ketahanan Energi,DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2025-10-27
2025-06-10,"Walhi Desak Pemerintah Cabut Semua Izin Tambang di Raja Ampat, Termasuk PT Gag Nikel",DISCOURSE,Nickel & EV,Mining & Upstream,3.0,0.0,2025-06-09
2024-10-15,Rosan Yakin Kebakaran Smelter Freeport Tak Akan Ganggu Investasi Asing ke RI,EXECUTION,Other Minerals,Industrial & Investment,4.92,0.0,2024-10-14
2024-12-18,Dua Pekerja Tewas akibat Ledakan Smelter PT Monokem Surya,DISCOURSE,General,Industrial & Investment,3.0,0.0,2024-12-16
2025-12-22,"Dedi Mulyadi Sebut Puluhan Industri Masuk Jabar, Targetkan Pemulihan Lapangan Kerja",EXECUTION,Nickel & EV,Industrial & Investment,5.0,0.0,2025-12-22
2024-08-07,Jokowi Klaim Ekosistem Kendaraan Listrik di Indonesia Semakin Nyata,EXECUTION,Nickel & EV,Industrial & Investment,5.0,0.0,2024-08-05
2023-12-28,"""Update"" Korban Ledakan Smelter Nikel di Morowali, Ada 19 Orang Meninggal, 8 di Antaranya TKA",DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2023-12-25
2025-12-29,ICW Kritik KPK Hentikan Penyidikan Kasus Tambang Nikel Konawe Utara,DISCOURSE,Nickel & EV,General,1.0,-8.0,2025-12-29
2025-11-24,"Cerita Bayi Orangutan Tinggal di Area Pertambangan Ilegal Kalbar, Induk Diduga Terbunuh",DISCOURSE,Other Minerals,Sustainability & ESG,3.0,0.0,2025-11-24
2025-06-11,"Smelter MMP 100 Persen PMDN, Dorong Hilirisasi Industri Nikel Berbasis ESG",DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2025-06-09
2025-10-01,"19 Tahun Perjalanan Himalaya Hill, dari Lahan Tambang Tandus Jadi Arboretum Hijau",DISCOURSE,Nickel & EV,Mining & Upstream,3.0,0.0,2025-09-29
2025-05-22,"Perbaikan Rampung, Bos Freeport McMoRan Cek Langsung Smelter Gresik",EXECUTION,Nickel & EV,Industrial & Investment,5.0,0.0,2025-05-19
2024-07-05,Kementerian ESDM Akui Mayoritas Smelter di RI Masih Andalkan Batu Bara,DISCOURSE,Coal & Energy,Industrial & Investment,3.43,0.0,2024-07-01
2025-05-12,Pabrik CAA di Cilegon Merupakan Proyek Strategis Nasional,EXECUTION,Nickel & EV,Industrial & Investment,5.0,0.0,2025-05-12
2025-07-14,"Gibran Paparkan Tantangan RI Saat Ini, Curhat Sempat Kebanjiran Gara-gara ""Climate Change""",DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2025-07-14
2026-01-23,"Tolak Tuntutan Rp 1,38 Triliun, Pemkab Luwu Timur Tegaskan Lahan PSN Nikel Milik Daerah",DISCOURSE,Nickel & EV,Industrial & Investment,1.23,-2.0,2026-01-19
2026-01-26,Penertiban Kawasan Hutan Perlu Selaras dengan Kepastian Hukum HGU,DISCOURSE,General,Industrial & Investment,3.0,0.0,2026-01-26
2025-12-24,Uni Eropa Bakal Perketat Impor Plastik demi Industri Daur Ulang Lokal,DISCOURSE,General,Trade & Export,3.76,0.0,2025-12-22
2026-01-21,"Kebakaran Pabrik Pengolahan Minyak Goreng, Damkar Gresik Butuh Lebih dari 1 Jam Padamkan Api",DISCOURSE,Coal & Energy,General,3.0,0.0,2026-01-19
2024-04-11,Pemerintah Minta Freeport Indonesia Bangun Smelter di Papua,IMPACT,Other Minerals,Industrial & Investment,5.0,0.0,2024-04-08
2025-05-28,"Hilirisasi Petanian, Mentan Sebut Ekspor Kelapa Bisa Rp 60 Triliun",DISCOURSE,General,Industrial & Investment,3.0,0.0,2025-05-26
2026-01-07,"Panen Raya di Karawang, Prabowo Cicipi Produk Hilirisasi Pertanian dan Lihat Teknologi Modern",DISCOURSE,General,Industrial & Investment,3.0,0.0,2026-01-05
2026-01-24,"Bos INCO Blak-blakan: RI Kaya Nikel, tapi Teknologi Dikuasai China",DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2026-01-19
2023-12-30,Siapa Konglomerat Pemilik Perusahaan Smelter yang Meledak di Morowali?,EXECUTION,Nickel & EV,Industrial & Investment,5.0,0.0,2023-12-25
2026-01-22,"75 Tahun Eksis, Sido Muncul Konsisten Hadirkan Produk Herbal Berbasis Ilmiah",POLICY,General,Industrial & Investment,4.11,0.0,2026-01-19
2026-01-15,"""Re-Imagine"" Cara Industri Mode Jatim Tata Kembali Masa Depan Fashion Pasca Pandemi",DISCOURSE,General,General,3.24,0.0,2026-01-12
2025-04-25,Wapres Gibran Bicara Hilirisasi: Kaya SDA Saja Tak Cukup,DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2025-04-21
2025-09-08,KPK Panggil Iwan Chandra Pengantar Uang Suap Rp 3 M untuk Ketua Kadin Kaltim Dayang Dona,POLICY,General,Mining & Upstream,1.0,-10.5,2025-09-08
2026-01-20,Upaya Kemenpora dalam Percepatan Pengembangan Industri Olahraga,DISCOURSE,General,Mining & Upstream,3.0,0.0,2026-01-19
2026-01-21,"LNG dari Kilang Tangguh Masuk Nusantara Regas, Siap Pasok Listrik dan Industri",DISCOURSE,Coal & Energy,Mining & Upstream,4.6,0.0,2026-01-19
2025-12-31,"Hilirisasi Kelapa: Berebut Bahan Baku, Mengejar Nilai Tambah",DISCOURSE,General,Trade & Export,3.24,0.0,2025-12-29
2025-09-23,"Hilirisasi Aluminium, Inalum Jajaki Kerja Sama Investasi dengan Vitol",DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2025-09-22
2026-01-20,Pabrik Pengolahan Kelapa Perusahaan China di Morowali Beroperasi Tahun Ini,IMPACT,General,Industrial & Investment,5.0,0.0,2026-01-19
2026-01-10,Strategis Pengembangan Industri Gambir,IMPACT,General,Trade & Export,4.99,0.0,2026-01-05
2024-09-25,Smelter Freeport Indonesia Resmi Beroperasi,IMPACT,Other Minerals,Industrial & Investment,4.27,0.0,2024-09-23
2025-05-27,Gibran Ajak Rakyat Keluar dari Zona Nyaman: Lakukan Terobosan yang Mengusik Pihak Lain,DISCOURSE,General,Industrial & Investment,3.0,0.0,2025-05-26
2025-05-15,"Dorong Hilirisasi, MIND ID Perbaiki Tata Kelola Timah untuk Perekonomian",POLICY,Other Minerals,Mining & Upstream,4.38,0.0,2025-05-12
2025-09-22,"Mendagri Bicara Soal Hilirisasi Pertanian Jadi Strategi Keluar dari ""Middle Income Trap""",DISCOURSE,Coal & Energy,Industrial & Investment,3.0,0.0,2025-09-22
2026-01-23,"Investasi di Jateng Diklaim Serap 418.000 Tenaga Kerja, Industri Alas Kaki Mendominasi",IMPACT,Nickel & EV,Industrial & Investment,4.91,0.0,2026-01-19
2024-12-23,Bos Smelter yang Diwakili Harvey Moeis Divonis 8 Tahun Penjara,DISCOURSE,Other Minerals,Industrial & Investment,1.01,-4.0,2024-12-23
2025-05-05,"Pengusaha Bauksit Keluhkan Smelter China, Abaikan Harga Patokan Pemerintah",EXECUTION,Other Minerals,Industrial & Investment,4.52,-2.0,2025-05-05
2025-12-22,"22 Tahun Berkarya, Astrid Rilis Mini Album 'Masih Di Sini' sebagai Wujud Konsistensi Bermusik",DISCOURSE,General,General,3.0,0.0,2025-12-22
2025-12-11,Dedi Mulyadi: Kami Akan Tutup Tambang-tambang di Lereng Gunung,POLICY,General,Sustainability & ESG,4.11,0.0,2025-12-08
2024-09-24,Negara Kantongi Rp 80 Triliun dari Smelter Freeport di KEK Gresik,EXECUTION,Other Minerals,Industrial & Investment,4.81,0.0,2024-09-23
2025-09-17,"Dukung Pertambangan Hijau, Liebherr Tawarkan ""Zero Emission Vision""",DISCOURSE,Coal & Energy,Sustainability & ESG,3.0,0.0,2025-09-15
2026-01-05,"Aktor Ahn Sung Ki Meninggal di Usia 74 Tahun, Sempat Didiagnosis Kanker Darah",DISCOURSE,General,General,3.0,0.0,2026-01-05
2024-08-29,"2 Petinggi Perusahaan ""Smelter"" Didakwa Terima Rp 2,2 Triliun dan Rp 1,9 Triliun dalam Kasus Timah",DISCOURSE,Other Minerals,Industrial & Investment,1.0,-8.0,2024-08-26
2025-01-21,ANTAM Fokus Kembangkan Baterai EV dan Smelter Alumina pada 2025,EXECUTION,Nickel & EV,Industrial & Investment,4.99,0.0,2025-01-20
2024-09-27,"Bahlil Minta Smelter Pakai EBT, Menperin Sebut Regulasi Harus Fleksibel",IMPACT,Nickel & EV,Industrial & Investment,4.98,0.0,2024-09-23
2024-07-12,"[POPULER MONEY] Smelter Freeport Akan Hasilkan 60 Ton Emas Murni | DPR Setujui PMN Rp 44,2 Triliun untuk 16 BUMN",EXECUTION,Coal & Energy,Industrial & Investment,5.0,0.0,2024-07-08
2026-01-22,"Industri Alas Kaki RI Diklaim Tahan Banting di Tengah Gejolak Global, Ekspor Tembus 7,28 Miliar Dollar AS",POLICY,General,Trade & Export,4.52,0.0,2026-01-19
2025-06-18,Studi: Paparan Nikel Picu Cacat Lahir dan Gangguan Otak pada Anak,DISCOURSE,Nickel & EV,Sustainability & ESG,3.0,0.0,2025-06-16
2026-01-27,Menelusuri Jejak Kisah Perjalanan Produksi Kendaraan Dalam Negeri,IMPACT,General,Industrial & Investment,4.75,0.0,2026-01-26
2024-10-09,Sandra Dewi Disebut Transfer Rp 10 Miliar ke Rekening Istri Bos Smelter Swasta,DISCOURSE,Other Minerals,Industrial & Investment,1.19,-2.0,2024-10-07
2026-01-02,"Pimpin Rapat Perdana 2026, Menperin Bahas Program ""Restarting"" Industri Kecil Terdampak Bencana",EXECUTION,Coal & Energy,Industrial & Investment,5.0,0.0,2025-12-29
2024-10-18,Eks Dirut PT Timah Mengaku Diundang Rapat Bersama Bos Smelter Swasta oleh Harvey Moeis,DISCOURSE,Other Minerals,Industrial & Investment,1.23,-2.0,2024-10-14
2025-12-12,"Konsisten Terapkan ESG, Grup Merdeka Catat Prestasi Gemilang Sepanjang 2025",DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2025-12-08
2025-05-12,Hilirisasi Sawit Jadi Strategi Kemenperin Dukung  Gizi Nasional,DISCOURSE,General,Industrial & Investment,3.0,0.0,2025-05-12
2025-03-17,"Peresmian Smelter Emas Freeport di Gresik, Langkah Signifikan Percepat Hilirisasi Sektor Mineral Indonesia",EXECUTION,Other Minerals,Industrial & Investment,4.81,0.0,2025-03-17
2025-06-11,"Polemik Tambang di Raja Ampat, KKP Akan Kaji Ulang Aturan Pemanfaatan Pulau Kecil",DISCOURSE,Nickel & EV,Sustainability & ESG,3.2,0.0,2025-06-09
2026-01-23,"Ekonomi RI Mentok di 5 Persen Selama 12 Tahun, BI Ungkap Penyebabnya",DISCOURSE,General,Trade & Export,3.0,0.0,2026-01-19
2026-01-17,"Menengok Piazza Firenze Garut, Angkat Industri Kulit Bergaya Italia",DISCOURSE,General,Trade & Export,3.0,0.0,2026-01-12
2026-01-26,"Kawasan Industri Disiapkan di Secang Magelang, Dekat Exit Tol Yogya-Bawen",EXECUTION,General,Industrial & Investment,4.88,0.0,2026-01-26
2025-09-03,"Menteri LH: Emisi Energi Naik hingga 2035, Pertambangan Mutlak Berkelanjutan",EXECUTION,General,Sustainability & ESG,4.91,0.0,2025-09-01
2024-09-23,Jokowi Ungkap Alasan Ajak Fahri Hamzah Resmikan Smelter di Sumbawa dan Gresik,DISCOURSE,Other Minerals,Industrial & Investment,3.2,0.0,2024-09-23
2026-01-07,Lapangan Migas Tua: Bor Ulang atau Tutup? Ini Pertimbangan Industri,DISCOURSE,General,Industrial & Investment,3.0,0.0,2026-01-05
2025-07-31,"China Bikin Proyek Hilirisasi Kelapa di RI, Kemenperin Jamin Pasokan Bahan Baku",IMPACT,General,Industrial & Investment,4.99,0.0,2025-07-28
2026-01-23,"74 Persen Air Tawar Indonesia Habis untuk Pertanian, Pakar Ingatkan Dampaknya",DISCOURSE,General,Industrial & Investment,3.0,0.0,2026-01-19
2025-09-23,"RUPSLB Vale Indonesia (INCO), Slamet Sugiharto Diangkat Jadi Direktur",DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2025-09-22
2024-04-18,"Hilirisasi Nikel, Bagaimana Dampaknya bagi Pertumbuhan Ekonomi?",IMPACT,Nickel & EV,Industrial & Investment,4.27,0.0,2024-04-15
2025-06-13,"Pulau Wayag di Raja Ampat Tutup Sementara, Imbas Polemik Tambang Nikel",IMPACT,Nickel & EV,Mining & Upstream,4.11,0.0,2025-06-09
2026-01-26,Peta Persaingan Baru Industri Asuransi Umum Syariah di Tengah Tenggat Spin Off,POLICY,General,General,4.11,0.0,2026-01-26
2026-01-20,"Danantara Mau Bentuk BUMN Tekstil, Menperin: Kembangkan Hulu-Hilir",DISCOURSE,General,Industrial & Investment,4.07,0.0,2026-01-19
2025-08-25,KPK Tetapkan Rudy Ong Chandra Jadi Tersangka Kasus Suap IUP di Kaltim,POLICY,General,Mining & Upstream,1.0,-10.5,2025-08-25
2025-11-18,Sun Energy Dorong Penggunaan Energi Hijau di Sektor Pertambangan,EXECUTION,Coal & Energy,Sustainability & ESG,4.88,0.0,2025-11-17
2025-07-22,Bahlil Kaji Peluang Koperasi Merah Putih Kelola Tambang,DISCOURSE,Other Minerals,Mining & Upstream,3.16,0.0,2025-07-21
2026-01-21,"Industri Wellness Global Tembus 6,8 Triliun USD, Bagaimana Indonesia?",DISCOURSE,General,Sustainability & ESG,3.0,0.0,2026-01-19
2025-05-29,Mind ID Sebut HPAL Jadi Inovasi Hilirisasi Nikel Rendah Emisi,DISCOURSE,Nickel & EV,Sustainability & ESG,3.0,0.0,2025-05-26
2025-12-26,"Winn Gas Perkuat Kualitas dan Inovasi, Bidik Pasar Global",DISCOURSE,General,Industrial & Investment,3.0,0.0,2025-12-22
2026-01-24,Industri Pelumas Perkuat Konsolidasi Jaringan Distributor di Awal 2026,DISCOURSE,General,General,3.2,0.0,2026-01-19
2026-01-11,"""Mata Industri"", Sikap Sering Lebih Berharga dari Angka",DISCOURSE,General,Sustainability & ESG,3.0,0.0,2026-01-05
2025-06-09,"Tambang di Raja Ampat, Pemerintah Tak Perlu Ragu Tindak Pelaku yang Melanggar",DISCOURSE,Nickel & EV,Sustainability & ESG,3.0,0.0,2025-06-09
2024-09-26,Eks Dirut Timah Kenalkan Harvey Moeis sebagai Bos Perusahaan Smelter Swasta,DISCOURSE,Other Minerals,Industrial & Investment,1.19,-2.0,2024-09-23
2025-12-29,China Perketat Regulasi Keselamatan Kendaraan Listrik,EXECUTION,Nickel & EV,Sustainability & ESG,4.98,0.0,2025-12-29
2025-06-09,Bupati Raja Ampat: Masyarakat Tidak Mau Tambang Nikel Pulau Gag Ditutup,DISCOURSE,Nickel & EV,Sustainability & ESG,3.0,0.0,2025-06-09
